STATIONS_ID,MESS_DATUM,Wind_max,Wind_mittel,Niederschlag,Niederschlag_art,Sonnendauer,Schnee,Bedeckung,Dampfdruck,Luftdruck,Temperatur_mittel,Feuchte_mittel,Temperatur_max_2m,Temperatur_min_2m,Temperatur_min_5cm
  
       1303,20190101,   14.1,   4.3,      3.2,   6,    0.000,   0,   7.4,   8.5, 1010.68,    6.1,   89.42,    7.5,    3.7,    2.2
       1303,20190102,   10.7,   3.7,      0.1,   6,    0.000,   0,   5.9,   5.6, 1016.38,    3.5,   70.63,    5.8,    0.6,   -3.7
       1303,20190103,    6.9,   2.3,      0.4,   6,    0.000,   0,   7.8,   6.7, 1019.73,    2.9,   88.75,    4.4,    0.7,   -0.1
       1303,20190104,    8.4,   2.3,      9.5,   6,    0.000,   0,   7.9,   7.2, 1017.80,    2.5,   98.33,    3.6,    1.2,    0.1
       1303,20190105,   11.5,   4.2,      8.2,   6,    0.000,   0,   7.5,   8.8, 1012.07,    5.3,   98.42,    6.1,    3.6,    3.6
       1303,20190106,   10.2,   3.0,      1.4,   6,    0.000,   0,   7.8,   8.4, 1014.03,    4.9,   97.25,    5.4,    3.2,    2.3
       1303,20190107,   12.9,   3.7,      9.3,   6,    0.000,   0,   7.3,   8.3, 1011.36,    4.4,   98.33,    7.7,    1.6,   -0.6
       1303,20190108,   17.8,   5.7,      3.9,   6,    0.000,   0,   7.5,   7.6,  997.41,    5.7,   83.08,    7.9,    3.5,    2.8
       1303,20190109,   14.5,   5.1,      0.1,   6,    0.000,   0,   5.9,   5.9,  999.96,    3.0,   78.33,    4.8,   -0.1,   -1.7
       1303,20190110,    4.9,   2.0,      0.8,   8,    0.000,   0,   7.5,   5.6, 1007.57,    0.4,   88.25,    1.6,   -0.7,   -2.2
       1303,20190111,    9.1,   3.3,      4.8,   6,    0.000,   0,   7.8,   7.9, 1005.45,    3.6,   98.50,    6.5,    0.2,    0.0
       1303,20190112,   13.9,   4.0,      6.4,   6,    0.000,   0,   7.7,   8.7,  999.65,    5.5,   95.88,    6.4,    4.5,    4.1
       1303,20190113,   17.9,   4.6,     23.8,   8,    0.000,   0,   7.6,   9.7,  987.98,    7.1,   95.58,    8.2,    5.0,    4.2
       1303,20190114,   11.8,   3.6,      4.7,   6,    2.000,   0,   7.1,   7.0,  994.89,    3.8,   86.08,    6.0,    0.3,   -1.2
       1303,20190115,   11.2,   4.2,      0.2,   6,    0.000,   0,   7.3,   7.2,  999.78,    4.0,   89.04,    6.3,    0.0,   -2.3
       1303,20190116,   14.4,   5.7,      2.2,   6,    0.000,   0,   7.9,   7.1,  991.04,    5.1,   80.00,    5.9,    4.3,    3.5
       1303,20190117,   14.6,   4.1,      6.7,   8,    0.033,   0,   7.5,   7.1,  986.36,    3.0,   93.42,    4.9,   -0.1,   -0.9
       1303,20190118,    5.1,   1.9,      0.0,   0,    4.500,   0,   5.7,   5.3, 1000.55,   -0.8,   91.29,    1.9,   -2.8,   -5.3
       1303,20190119,    8.7,   2.7,      0.0,   0,    6.917,   0,   7.4,   4.1,  998.47,   -0.9,   72.96,    3.4,   -3.6,   -5.7
       1303,20190120,    5.6,   2.3,      0.0,   0,    8.033,   0,   0.0,   3.5,  999.13,   -1.6,   65.29,    2.1,   -5.0,   -7.9
       1303,20190121,    5.3,   2.1,      0.0,   0,    8.017,   0,   0.6,   3.6, 1003.12,   -2.4,   70.83,    0.6,   -4.5,   -8.2
       1303,20190122,   12.3,   5.0,      0.2,   8,    3.600,   0,   6.8,   3.6,  989.28,   -2.4,   71.63,   -0.5,   -3.9,   -6.0
       1303,20190123,    8.0,   3.2,      0.0,   8,    0.117,   1,   8.0,   3.9,  982.63,   -2.2,   75.75,   -0.7,   -3.5,   -4.6
       1303,20190124,    4.2,   1.3,      0.0,   8,    0.083,   1,   7.9,   3.6,  992.48,   -4.1,   79.46,   -3.4,   -4.6,   -5.8
       1303,20190125,   11.3,   2.9,      2.9,   8,    0.000,   1,   7.8,   5.2,  995.17,   -1.2,   91.83,    2.6,   -3.9,   -3.8
       1303,20190126,   11.5,   4.8,      3.1,   6,    0.000,   1,   7.8,   8.4,  986.84,    5.0,   96.58,    6.5,    2.7,    2.3
       1303,20190127,   12.6,   4.6,      8.4,   8,    0.000,   0,   7.7,   7.8,  969.97,    4.6,   91.79,    6.0,    2.3,    1.8
       1303,20190128,   15.4,   5.0,      5.0,   8,    0.000,   0,   7.5,   6.5,  976.55,    2.1,   91.58,    4.0,    0.3,   -0.9
       1303,20190129,    8.9,   3.3,      0.0,   8,    1.000,   0,   7.5,   5.4,  985.53,    1.1,   81.33,    3.5,   -0.1,   -1.8
       1303,20190130,    5.8,   2.3,      4.6,   8,    0.000,   0,   7.7,   5.2,  975.62,   -0.5,   88.58,    0.7,   -1.4,   -2.6
       1303,20190131,    6.7,   2.0,      1.7,   8,    0.000,   4,   6.4,   5.1,  977.86,   -1.4,   91.88,    0.1,   -3.1,   -9.9
       1303,20190201,    9.1,   3.1,      3.2,   8,    3.250,   4,   7.1,   5.9,  971.98,    2.0,   83.25,    5.3,   -1.6,   -2.4
       1303,20190202,    7.4,   2.8,     10.1,   8,    0.000,   0,   7.8,   5.9,  980.41,    0.6,   92.17,    2.4,    0.1,    0.0
       1303,20190203,    7.4,   2.5,      0.0,   0,    4.700,   0,   4.8,   5.5, 1000.90,    1.4,   82.42,    4.4,   -0.4,   -4.2
       1303,20190204,   13.2,   4.1,      1.1,   8,    2.467,   0,   6.3,   4.9, 1007.33,    1.8,   71.79,    4.3,   -0.7,   -2.9
